Time (s),RPM1,RPM2,RPM3,dt (s),Vx (m/s),Vy (m/s),Omega (rad/s),X (m),Y (m),Theta (rad)
4.422,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.424,0.0,0.0,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0
4.425,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.623,0.0,0.0,0.0,0.1980000000000004,0.0,0.0,0.0,0.0,0.0,0.0
4.625,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.626,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.627,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.629,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.63,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.631,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.633,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.635,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.636,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.668,0.0,0.0,0.0,0.03200000000000003,0.0,0.0,0.0,0.0,0.0,0.0
4.67,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.671,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.72,0.0,0.0,0.0,0.04899999999999949,0.0,0.0,0.0,0.0,0.0,0.0
4.721,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.821,0.0,0.0,0.0,0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.0
4.823,0.0,0.0,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0
4.824,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.825,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.827,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.828,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.881,0.0,0.0,0.0,0.052999999999999936,0.0,0.0,0.0,0.0,0.0,0.0
4.882,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
